Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create DB,300,15,0,1780,"141,73","0,333%","2,29023","0,09","0,00","41,1"
Create Table utenti,300,9,2,976,"63,35","0,000%","2,30447","0,09","0,00","41,0"
Create Table stanze,300,18,2,1723,"147,99","0,000%","2,32177","0,09","0,00","41,0"
Create Table prenotazioni,300,18,2,3485,"204,61","0,000%","2,34135","0,09","0,00","41,0"
Inserisci utente,300,239,67,1309,"139,43","0,000%","2,36300","0,09","0,00","41,0"
Inserisci stanza,300,216,66,937,"103,22","0,000%","2,38447","0,10","0,00","41,0"
Modifica utente,300,302,55,1054,"198,99","0,000%","2,38907","0,10","0,00","41,9"
Modifica stanza,300,373,89,2457,"321,67","0,333%","2,39057","0,10","0,00","41,9"
Modifica prenotazioni,300,8,1,444,"40,18","0,333%","2,39576","0,10","0,00","41,1"
Mostra stanze,300,98,0,770,"111,91","0,333%","2,40414","11,19","0,00","4765,4"
Mostra prenotazioni,300,2,0,13,"1,37","0,333%","2,40410","0,24","0,00","100,9"
TOTAL,3300,118,0,3485,"205,91","0,152%","25,05238","11,65","0,00","476,1"
