Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create DB,300,205,71,973,"97,71","0,000%","2,58296","0,10","0,00","41,0"
Create Table utenti,300,136,40,732,"85,35","0,000%","2,60087","0,10","0,00","41,0"
Create Table stanze,300,90,32,617,"58,01","0,000%","2,60006","0,10","0,00","41,0"
Create Table prenotazioni,300,100,37,383,"47,71","0,000%","2,59722","0,10","0,00","41,0"
Inserisci utente,300,219,111,543,"88,28","0,000%","2,59199","0,10","0,00","41,0"
Inserisci stanza,300,203,99,577,"73,94","0,000%","2,59968","0,10","0,00","41,0"
Inserisci prenotazione,300,198,93,489,"65,71","0,000%","2,60107","0,10","0,00","41,0"
Modifica utente,300,3,0,167,"15,68","0,000%","2,60561","0,10","0,00","41,0"
Modifica stanza,300,3,0,310,"23,29","0,000%","2,60883","0,10","0,00","41,0"
Modifica prenotazioni,300,3,0,302,"21,81","0,000%","2,61038","0,10","0,00","41,0"
Mostra prenotazioni,300,2,1,55,"3,17","0,000%","2,61040","5,53","0,00","2169,7"
TOTAL,3300,106,0,973,"106,94","0,000%","28,14187","6,44","0,00","234,5"
